nohup: ignoring input
Using device: cpu
Architecture: 8 concrete rules → 4 abstract rules
Architecture: 8 concrete rules → 4 abstract rules
======================================================================
LOGIC EXPERIMENTS 2: Hierarchical Architecture
- Layer 1: 8 concrete pattern detectors (forced constants)
- Layer 2: 4 abstract rules with variables (compose L1)
- Learning rate: 0.001
- Target network sync every 50 episodes
======================================================================
Episode    50 | Reward:  -9.943 | Epsilon: 0.7783
Episode   100 | Reward: -15.746 | Epsilon: 0.6058 | Loss: 151.3221
Episode   150 | Reward: -15.451 | Epsilon: 0.4715 | Loss: 138.9615
Episode   200 | Reward: -13.826 | Epsilon: 0.3670 | Loss: 101.3842
Episode   250 | Reward: -18.695 | Epsilon: 0.2856 | Loss: 116.7784
Episode   300 | Reward: -11.766 | Epsilon: 0.2223 | Loss: 131.9084
Episode   350 | Reward: -15.717 | Epsilon: 0.1730 | Loss: 105.9625
Episode   400 | Reward: -13.296 | Epsilon: 0.1347 | Loss: 125.9444
Episode   450 | Reward: -13.426 | Epsilon: 0.1048 | Loss: 109.5561
Episode   500 | Reward: -15.543 | Epsilon: 0.0816 | Loss: 106.5123
Episode   550 | Reward: -12.033 | Epsilon: 0.0635 | Loss: 93.4460
Episode   600 | Reward: -10.038 | Epsilon: 0.0494 | Loss: 72.4318
Episode   650 | Reward:  -8.830 | Epsilon: 0.0385 | Loss: 117.6709
Episode   700 | Reward: -10.982 | Epsilon: 0.0299 | Loss: 92.4096
Episode   750 | Reward: -11.589 | Epsilon: 0.0233 | Loss: 84.0238
Episode   800 | Reward: -12.175 | Epsilon: 0.0181 | Loss: 87.2884
Episode   850 | Reward: -13.946 | Epsilon: 0.0141 | Loss: 78.4950
Episode   900 | Reward: -12.685 | Epsilon: 0.0110 | Loss: 70.7249
Episode   950 | Reward: -10.507 | Epsilon: 0.0100 | Loss: 87.3251
Episode  1000 | Reward:  -9.180 | Epsilon: 0.0100 | Loss: 89.3281
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:00).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:00)
Episode  1050 | Reward: -10.503 | Epsilon: 0.0100 | Loss: 75.1784
Episode  1100 | Reward:  -8.176 | Epsilon: 0.0100 | Loss: 73.6942
